period,time,demand_kw,diesel_generation_kw,solar_radiation,min_injection_threshold,injection_condition,pv_injection_potential,theoretical_pv_generation,actual_pv_injection,unused_pv_energy
2018-10,0:00,262.73,700,0,364,0,0,0,0,0
2018-10,0:15,258.68,700,0,364,0,0,0,0,0
2018-10,0:30,252.6,700,0,364,0,0,0,0,0
2018-10,0:45,247.82,700,0,364,0,0,0,0,0
2018-10,1:00,242.33,400,0,208,1,34.33,0,0,0
2018-10,1:15,241,400,0,208,1,33,0,0,0
2018-10,1:30,238.03,400,0,208,1,30.03,0,0,0
2018-10,1:45,236,400,0,208,1,28,0,0,0
2018-10,2:00,235,400,0,208,1,27,0,0,0
2018-10,2:15,231.58,400,0,208,1,23.58,0,0,0
2018-10,2:30,229.57,400,0,208,1,21.57,0,0,0
2018-10,2:45,231.85,300,0,156,1,75.85,0,0,0
2018-10,3:00,231.22,300,0,156,1,75.22,0,0,0
2018-10,3:15,228.46,300,0,156,1,72.46,0,0,0
2018-10,3:30,228.55,300,0,156,1,72.55,0,0,0
2018-10,3:45,226.39,300,0,156,1,70.39,0,0,0
2018-10,4:00,226.1,300,0,156,1,70.1,0,0,0
2018-10,4:15,224.87,300,0,156,1,68.87,0,0,0
2018-10,4:30,222.47,400,0,208,1,14.47,0,0,0
2018-10,4:45,223.64,300,0,156,1,67.64,0,0,0
2018-10,5:00,226.63,400,0,208,1,18.63,0,0,0
2018-10,5:15,229.46,300,0,156,1,73.46,0,0,0
2018-10,5:30,228.48,400,0,208,1,20.48,0,0,0
2018-10,5:45,224.37,400,0.39,208,1,16.37,0.17,0.17,0
2018-10,6:00,204.92,400,7.18,208,0,0,3.06,0,3.06
2018-10,6:15,213.68,400,18.56,208,1,5.68,7.91,5.68,2.23
2018-10,6:30,225.77,400,36.31,208,1,17.77,15.48,15.48,0
2018-10,6:45,234.95,400,69.75,208,1,26.95,29.74,26.95,2.79
2018-10,7:00,249.64,400,108.85,208,1,41.64,46.41,41.64,4.77
2018-10,7:15,265.39,400,145.67,208,1,57.39,62.11,57.39,4.72
2018-10,7:30,277.45,400,182.07,208,1,69.45,77.63,69.45,8.18
2018-10,7:45,289.67,400,231.53,208,1,81.67,98.72,81.67,17.05
2018-10,8:00,306.44,400,276.04,208,1,98.44,117.69,98.44,19.25
2018-10,8:15,318.88,400,315.37,208,1,110.88,134.46,110.88,23.58
2018-10,8:30,333.34,400,364.36,208,1,125.34,155.35,125.34,30.01
2018-10,8:45,337.12,400,431.7,208,1,129.12,184.06,129.12,54.94
2018-10,9:00,343.92,400,470.09,208,1,135.92,200.43,135.92,64.51
2018-10,9:15,351.97,400,492.09,208,1,143.97,209.81,143.97,65.84
2018-10,9:30,361.05,400,527.76,208,1,153.05,225.02,153.05,71.97
2018-10,9:45,362.49,400,560.47,208,1,154.49,238.96,154.49,84.47
2018-10,10:00,372.73,400,607.68,208,1,164.73,259.09,164.73,94.36
2018-10,10:15,375.74,400,665.82,208,1,167.74,283.88,167.74,116.14
2018-10,10:30,381.26,400,640.56,208,1,173.26,273.11,173.26,99.85
2018-10,10:45,384.39,400,653.14,208,1,176.39,278.47,176.39,102.08
2018-10,11:00,394.31,900,661.39,468,0,0,281.99,0,281.99
2018-10,11:15,400.94,900,684.91,468,0,0,292.02,0,292.02
2018-10,11:30,405.49,900,680.09,468,0,0,289.96,0,289.96
2018-10,11:45,394.4,900,676.76,468,0,0,288.54,0,288.54
2018-10,12:00,372.4,400,699.54,208,1,164.4,298.26,164.4,133.86
2018-10,12:15,364.57,400,743.63,208,1,156.57,317.05,156.57,160.48
2018-10,12:30,359.95,400,706.22,208,1,151.95,301.1,151.95,149.15
2018-10,12:45,356.52,400,709.65,208,1,148.52,302.57,148.52,154.05
2018-10,13:00,359.66,400,700.37,208,1,151.66,298.61,151.66,146.95
2018-10,13:15,368.34,700,730.83,364,1,4.34,311.6,4.34,307.26
2018-10,13:30,373.51,700,691.19,364,1,9.51,294.7,9.51,285.19
2018-10,13:45,375.07,700,634.09,364,1,11.07,270.35,11.07,259.28
2018-10,14:00,377.1,700,654.42,364,1,13.1,279.02,13.1,265.92
2018-10,14:15,381.16,700,596.9,364,1,17.16,254.49,17.16,237.33
2018-10,14:30,386.58,700,518.55,364,1,22.58,221.09,22.58,198.51
2018-10,14:45,388.96,700,547.84,364,1,24.96,233.58,24.96,208.62
2018-10,15:00,391.26,700,501.18,364,1,27.26,213.68,27.26,186.42
2018-10,15:15,398.76,900,486.05,468,0,0,207.23,0,207.23
2018-10,15:30,398.48,900,412.61,468,0,0,175.92,0,175.92
2018-10,15:45,399.62,900,383.18,468,0,0,163.37,0,163.37
2018-10,16:00,396.04,900,348.26,468,0,0,148.48,0,148.48
2018-10,16:15,392.28,900,300.8,468,0,0,128.25,0,128.25
2018-10,16:30,384.51,900,242.89,468,0,0,103.56,0,103.56
2018-10,16:45,382.26,900,210.07,468,0,0,89.57,0,89.57
2018-10,17:00,380.61,900,156.44,468,0,0,66.7,0,66.7
2018-10,17:15,374.77,900,116.65,468,0,0,49.73,0,49.73
2018-10,17:30,371.91,900,80.99,468,0,0,34.53,0,34.53
2018-10,17:45,368.4,900,44.79,468,0,0,19.1,0,19.1
2018-10,18:00,356.17,900,20.18,468,0,0,8.6,0,8.6
2018-10,18:15,366.64,900,6.14,468,0,0,2.62,0,2.62
2018-10,18:30,401.45,700,0.84,364,1,37.45,0.36,0.36,0
2018-10,18:45,415.13,700,0,364,1,51.13,0,0,0
2018-10,19:00,420.14,700,0,364,1,56.14,0,0,0
2018-10,19:15,421.56,700,0,364,1,57.56,0,0,0
2018-10,19:30,420.07,700,0,364,1,56.07,0,0,0
2018-10,19:45,418.66,700,0,364,1,54.66,0,0,0
2018-10,20:00,417,700,0,364,1,53,0,0,0
2018-10,20:15,411.75,700,0,364,1,47.75,0,0,0
2018-10,20:30,402.12,700,0,364,1,38.12,0,0,0
2018-10,20:45,400.63,700,0,364,1,36.63,0,0,0
2018-10,21:00,389.38,700,0,364,1,25.38,0,0,0
2018-10,21:15,381.87,700,0,364,1,17.87,0,0,0
2018-10,21:30,373.33,700,0,364,1,9.33,0,0,0
2018-10,21:45,355.98,700,0,364,0,0,0,0,0
2018-10,22:00,345.77,700,0,364,0,0,0,0,0
2018-10,22:15,333.06,700,0,364,0,0,0,0,0
2018-10,22:30,317.39,700,0,364,0,0,0,0,0
2018-10,22:45,308.91,700,0,364,0,0,0,0,0
2018-10,23:00,295.84,700,0,364,0,0,0,0,0
2018-10,23:15,286.69,700,0,364,0,0,0,0,0
2018-10,23:30,278.46,700,0,364,0,0,0,0,0
2018-10,23:45,269.73,700,0,364,0,0,0,0,0
2018-11,0:00,246.03,700,0,364,0,0,0,0,0
2018-11,0:15,240.25,700,0,364,0,0,0,0,0
2018-11,0:30,235.08,700,0,364,0,0,0,0,0
2018-11,0:45,230.84,300,0,156,1,74.84,0,0,0
2018-11,1:00,227.44,300,0,156,1,71.44,0,0,0
2018-11,1:15,224.61,300,0,156,1,68.61,0,0,0
2018-11,1:30,222.37,300,0,156,1,66.37,0,0,0
2018-11,1:45,219.3,300,0,156,1,63.3,0,0,0
2018-11,2:00,216.9,300,0,156,1,60.9,0,0,0
2018-11,2:15,215.76,300,0,156,1,59.76,0,0,0
2018-11,2:30,215.63,300,0,156,1,59.63,0,0,0
2018-11,2:45,213.32,300,0,156,1,57.32,0,0,0
2018-11,3:00,212.56,300,0,156,1,56.56,0,0,0
2018-11,3:15,211.81,300,0,156,1,55.81,0,0,0
2018-11,3:30,211.66,300,0,156,1,55.66,0,0,0
2018-11,3:45,210.57,300,0,156,1,54.57,0,0,0
2018-11,4:00,209.58,300,0,156,1,53.58,0,0,0
2018-11,4:15,208.11,300,0,156,1,52.11,0,0,0
2018-11,4:30,208.59,300,0,156,1,52.59,0,0,0
2018-11,4:45,209.42,300,0,156,1,53.42,0,0,0
2018-11,5:00,214.08,300,0,156,1,58.08,0,0,0
2018-11,5:15,214.2,300,0,156,1,58.2,0,0,0
2018-11,5:30,211.78,300,0,156,1,55.78,0,0,0
2018-11,5:45,200.16,300,2.88,156,1,44.16,1.23,1.23,0
2018-11,6:00,192.84,700,12.65,364,0,0,5.39,0,5.39
2018-11,6:15,199.88,700,28.81,364,0,0,12.28,0,12.28
2018-11,6:30,207.4,700,51.84,364,0,0,22.1,0,22.1
2018-11,6:45,213.96,700,83.68,364,0,0,35.68,0,35.68
2018-11,7:00,223.62,700,115.21,364,0,0,49.12,0,49.12
2018-11,7:15,238.46,700,147.27,364,0,0,62.79,0,62.79
2018-11,7:30,253.92,700,181.99,364,0,0,77.59,0,77.59
2018-11,7:45,265.84,700,216.56,364,0,0,92.33,0,92.33
2018-11,8:00,286.53,700,246.02,364,0,0,104.89,0,104.89
2018-11,8:15,303.9,700,287.19,364,0,0,122.45,0,122.45
2018-11,8:30,315.76,700,312.72,364,0,0,133.33,0,133.33
2018-11,8:45,313.95,700,345.76,364,0,0,147.42,0,147.42
2018-11,9:00,317.43,700,394.39,364,0,0,168.15,0,168.15
2018-11,9:15,320.13,700,419.09,364,0,0,178.68,0,178.68
2018-11,9:30,330.3,700,450.56,364,0,0,192.1,0,192.1
2018-11,9:45,340.05,700,478.39,364,0,0,203.97,0,203.97
2018-11,10:00,352.1,700,527.66,364,0,0,224.97,0,224.97
2018-11,10:15,362.39,700,551.5,364,0,0,235.14,0,235.14
2018-11,10:30,367.35,700,552.46,364,1,3.35,235.55,3.35,232.2
2018-11,10:45,367.8,700,578.06,364,1,3.8,246.46,3.8,242.66
2018-11,11:00,364.79,700,601.2,364,1,0.79,256.33,0.79,255.54
2018-11,11:15,367.21,700,651.53,364,1,3.21,277.79,3.21,274.58
2018-11,11:30,368.11,700,648.2,364,1,4.11,276.37,4.11,272.26
2018-11,11:45,373.18,700,609.76,364,1,9.18,259.98,9.18,250.8
2018-11,12:00,358.19,700,712.99,364,0,0,303.99,0,303.99
2018-11,12:15,359.11,700,715.32,364,0,0,304.98,0,304.98
2018-11,12:30,356.8,700,630.46,364,0,0,268.8,0,268.8
2018-11,12:45,349.38,700,552.51,364,0,0,235.57,0,235.57
2018-11,13:00,341.06,700,547.5,364,0,0,233.43,0,233.43
2018-11,13:15,344.82,700,567.87,364,0,0,242.12,0,242.12
2018-11,13:30,350.48,700,532.49,364,0,0,227.03,0,227.03
2018-11,13:45,350.82,700,568.03,364,0,0,242.19,0,242.19
2018-11,14:00,353.35,700,525.05,364,0,0,223.86,0,223.86
2018-11,14:15,358.4,700,481.35,364,0,0,205.23,0,205.23
2018-11,14:30,363.76,700,428.39,364,0,0,182.65,0,182.65
2018-11,14:45,366.79,700,391.55,364,1,2.79,166.94,2.79,164.15
2018-11,15:00,365.1,700,328.97,364,1,1.1,140.26,1.1,139.16
2018-11,15:15,371.19,700,339.31,364,1,7.19,144.67,7.19,137.48
2018-11,15:30,363.8,700,300.84,364,0,0,128.27,0,128.27
2018-11,15:45,359.8,700,266.99,364,0,0,113.83,0,113.83
2018-11,16:00,355.61,700,233.75,364,0,0,99.66,0,99.66
2018-11,16:15,355.91,700,201.17,364,0,0,85.77,0,85.77
2018-11,16:30,359.59,700,172.99,364,0,0,73.76,0,73.76
2018-11,16:45,360.69,700,148.05,364,0,0,63.12,0,63.12
2018-11,17:00,364.36,700,125.81,364,1,0.36,53.64,0.36,53.28
2018-11,17:15,358.82,700,98.45,364,0,0,41.98,0,41.98
2018-11,17:30,352.33,700,70.53,364,0,0,30.07,0,30.07
2018-11,17:45,339.62,700,46.31,364,0,0,19.74,0,19.74
2018-11,18:00,321.85,700,28.15,364,0,0,12,0,12
2018-11,18:15,328.61,700,10.01,364,0,0,4.27,0,4.27
2018-11,18:30,356.98,700,1.48,364,0,0,0.63,0,0.63
2018-11,18:45,384.5,700,0,364,1,20.5,0,0,0
2018-11,19:00,394.89,700,0,364,1,30.89,0,0,0
